price,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_bedrooms,fl_open_fire,fl_terrace,fl_garden,garden_sqm,fl_swimming_pool,subproperty_type_encoded,region_encoded,epc_encoded,state_encoded,province_encoded
356600.0,3520.0,2021.0,93.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,7
293319.0,1480.0,2024.0,92.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,2,1,9
425000.0,9820.0,2023.0,213.0,223.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,1
595000.0,9130.0,1970.0,166.0,0.0,4.0,0.0,1.0,1.0,620.0,0.0,0,0,3,1,1
99000.0,6040.0,1950.0,120.0,183.0,2.0,0.0,0.0,1.0,75.0,0.0,0,1,9,1,3
365000.0,9100.0,1958.0,200.0,530.0,4.0,1.0,0.0,1.0,400.0,0.0,0,0,7,1,1
219000.0,7500.0,2020.0,166.0,555.0,3.0,1.0,0.0,0.0,0.0,0.0,0,1,8,1,3
735000.0,8300.0,1978.0,204.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0
282150.0,8670.0,2023.0,69.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,0
269000.0,1785.0,2022.0,80.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,6
210000.0,7170.0,1950.0,148.0,580.0,3.0,0.0,1.0,1.0,470.0,0.0,0,1,4,0,3
249000.0,8520.0,1983.0,145.0,320.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,5,1,0
309000.0,6900.0,2023.0,168.0,469.0,3.0,0.0,1.0,1.0,0.0,0.0,0,1,2,0,10
198000.0,7600.0,2024.0,85.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,3,0,3
275000.0,2000.0,1977.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1,2
189500.0,8500.0,1965.0,92.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,7,1,0
505000.0,8400.0,2008.0,119.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,3,1,0
375000.0,9170.0,2023.0,259.0,625.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,1
335000.0,7040.0,1989.0,166.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,1,4,0,3
310000.0,4431.0,1959.0,218.0,648.0,4.0,0.0,1.0,0.0,0.0,0.0,0,1,8,1,4
345000.0,8301.0,1974.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1,0
380200.0,9550.0,1972.0,191.0,290.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,7,0,1
275000.0,1050.0,1930.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2,5,5,5
327021.0,9800.0,2001.0,133.0,246.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,1
349000.0,3080.0,1931.0,144.0,130.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,2,6
225000.0,8400.0,2008.0,86.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0
